k13A_o60_24_c4a0.cnf: UNSAT | VERIFIED
k13A_o60_24_c4a1.cnf: UNSAT | VERIFIED
k13A_o60_24_c4a2.cnf: UNSAT | VERIFIED
k13A_o60_24_c4a3.cnf: UNSAT | VERIFIED
k13A_o60_24_dia0.cnf: UNSAT | VERIFIED
k13A_o60_24_dia1.cnf: UNSAT | VERIFIED
k13A_o61_24_c4a0.cnf: UNSAT | VERIFIED
k13A_o61_24_c4a1.cnf: UNSAT | VERIFIED
k13A_o61_24_c4a2.cnf: UNSAT | VERIFIED
k13A_o61_24_c4a3.cnf: UNSAT | VERIFIED
k13A_o61_24_dia0.cnf: UNSAT | VERIFIED
k13A_o61_24_dia1.cnf: UNSAT | VERIFIED
k13A_o62_25_c4a0.cnf: UNSAT | VERIFIED
k13A_o62_25_c4a1.cnf: UNSAT | VERIFIED
k13A_o62_25_c4a2.cnf: UNSAT | VERIFIED
k13A_o62_25_c4a3.cnf: UNSAT | VERIFIED
k13A_o62_25_dia0.cnf: UNSAT | VERIFIED
k13A_o62_25_dia1.cnf: UNSAT | VERIFIED
k13A_o63_25_c4a0.cnf: UNSAT | VERIFIED
k13A_o63_25_c4a1.cnf: UNSAT | VERIFIED
k13A_o63_25_c4a2.cnf: UNSAT | VERIFIED
k13A_o63_25_c4a3.cnf: UNSAT | VERIFIED
k13A_o63_25_dia0.cnf: UNSAT | VERIFIED
k13A_o63_25_dia1.cnf: UNSAT | VERIFIED
k13A_o64_25_c4a0.cnf: UNSAT | VERIFIED
k13A_o64_25_c4a1.cnf: UNSAT | VERIFIED
k13A_o64_25_c4a2.cnf: UNSAT | VERIFIED
k13A_o64_25_c4a3.cnf: UNSAT | VERIFIED
k13A_o64_25_dia0.cnf: UNSAT | VERIFIED
k13A_o64_25_dia1.cnf: UNSAT | VERIFIED
k13A_o65_35_c4a0.cnf: UNSAT | VERIFIED
k13A_o65_35_c4a1.cnf: UNSAT | VERIFIED
k13A_o65_35_c4a2.cnf: UNSAT | VERIFIED
k13A_o65_35_c4a3.cnf: UNSAT | VERIFIED
k13A_o65_35_dia0.cnf: UNSAT | VERIFIED
k13A_o65_35_dia1.cnf: UNSAT | VERIFIED
k13A_o66_35_c4a0.cnf: UNSAT | VERIFIED
k13A_o66_35_c4a1.cnf: UNSAT | VERIFIED
k13A_o66_35_c4a2.cnf: UNSAT | VERIFIED
k13A_o66_35_c4a3.cnf: UNSAT | VERIFIED
k13A_o66_35_dia0.cnf: UNSAT | VERIFIED
k13A_o66_35_dia1.cnf: UNSAT | VERIFIED
k13A_o67_36_c4a0.cnf: UNSAT | VERIFIED
k13A_o67_36_c4a1.cnf: UNSAT | VERIFIED
k13A_o67_36_c4a2.cnf: UNSAT | VERIFIED
k13A_o67_36_c4a3.cnf: UNSAT | VERIFIED
k13A_o67_36_dia0.cnf: UNSAT | VERIFIED
k13A_o67_36_dia1.cnf: UNSAT | VERIFIED
k13A_o68_14_c4a0.cnf: UNSAT | VERIFIED
k13A_o68_14_c4a1.cnf: UNSAT | VERIFIED
k13A_o68_14_c4a2.cnf: UNSAT | VERIFIED
k13A_o68_14_c4a3.cnf: UNSAT | VERIFIED
k13A_o68_14_dia0.cnf: UNSAT | VERIFIED
k13A_o68_14_dia1.cnf: UNSAT | VERIFIED
k13A_o69_56_c4a0.cnf: UNSAT | VERIFIED
k13A_o69_56_c4a1.cnf: UNSAT | VERIFIED
k13A_o69_56_c4a2.cnf: UNSAT | VERIFIED
k13A_o69_56_c4a3.cnf: UNSAT | VERIFIED
k13A_o69_56_dia0.cnf: UNSAT | VERIFIED
k13A_o69_56_dia1.cnf: UNSAT | VERIFIED
k13A_o70_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o70_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o70_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o70_03_c4a3.cnf: UNSAT | VERIFIED
